bio_passenger_1,bio_passenger_2,bio_passenger_3,bio_passenger_4,bio_passenger_captured
-0.000603098,0.013287653,-0.004010236,-0.015412734,0.000500366
-0.027811194,-0.007251433,-0.006932226,0.004327994,-0.023125676
0.003602027,0.018335244,-0.005341887,-0.009103702,-0.00259685
0.036931477,0.002072475,0.013784867,0.014125696,0.034532078
-0.01228729,-0.013464376,0.001381614,-0.001420744,-0.013103495
0.010984526,-0.0076064,0.002613423,-0.008049387,0.018697739
-0.003700665,-0.021027977,-0.011686615,0.014349606,-0.003101098
-0.018291537,0.034305319,-0.008312642,-0.002026278,-0.031588107
0.003083022,-0.002555871,-0.017195331,-0.011710084,0.013641724
0.052336261,-0.002922635,0.011371461,0.015288927,0.05155468
-0.026350707,-0.004701414,0.006058073,0.009076974,-0.023158753
0.00426233,0.016920716,-0.00643193,-0.011000394,0.006642407
-0.00773943,-0.028282586,0.012958012,-0.00143856,-0.01132445
0.014784832,-0.003740134,0.009147995,0.014014468,0.004371522
-0.0174652,-0.006363448,0.028063716,0.00802036,-0.013978713
-0.022681667,0.016192216,-0.008475058,0.000237743,-0.026028844
-0.020599831,-0.018496916,-0.001071623,-0.00997705,-0.021367749
0.021887574,-0.007326902,-0.009701879,0.002965822,0.016715355
-0.006099608,0.030536693,-0.004875272,0.006322178,-0.01113476
-0.015868323,0.01726022,-0.01210778,0.006126504,-0.016090479
-0.045845728,-0.009798972,-0.003409643,-0.006827544,-0.048724018
0.001335873,-0.00038141,0.017714271,0.012252732,-0.00187882
0.064050265,0.033289328,0.039907869,-0.001566645,0.058226481
-0.028455507,-0.005594066,0.014779622,-0.00736064,-0.021027619
0.024699233,-0.007861988,0.00732927,0.009189829,0.012125808
-0.020026609,0.007300862,0.014369352,-0.000718415,-0.01588314
0.003454659,0.02500478,-0.009267404,0.013916166,0.000749528
-0.057400975,0.010308567,-0.031696338,0.00432164,-0.056369059
-0.004220027,0.011296887,-0.029982816,0.006388945,-0.009827553
0.019601753,-0.012020872,0.058040623,0.017889671,0.024629073
0.054579977,0.003054586,0.013540046,-0.013345378,0.059830137
0.037903558,-0.01773677,0.021792548,-0.001038471,0.039692197
-0.012860751,0.023124654,-0.026366638,0.001794363,-0.016752917
-0.021055933,-0.007879453,0.003161313,0.000618732,-0.02193303
-0.011191315,0.019212784,0.003212454,-0.005703338,-0.016024681
-0.001634432,-0.0000495,-0.017020572,-0.004636414,-0.000743641
-0.004470397,0.012290086,-0.00209706,-0.004231168,-0.006974471
0.026605338,0.019194935,-0.009699184,0.00074607,0.015021783
-0.025986284,-0.008260076,0.025224714,-0.002972179,-0.035261974
-0.011026961,-0.011783022,0.027837994,0.013315223,-0.01281852
0.018505283,0.001542205,-0.003108348,-0.001299484,0.01837348
-0.016392674,0.013680783,0.008403931,-0.013542956,-0.020751871
0.011633242,-0.02136017,0.028978597,0.012010815,0.022778535
0.047260657,-0.019351235,0.010996347,0.001215786,0.038742222
-0.003641095,0.021388162,-0.039938435,-0.002178905,-0.001431593
0.011032663,0.015798202,0.030878233,0.010022243,0.003057489
0.005291525,-0.016952792,0.007411726,-0.001351729,0.004301511
-0.03672478,0.008901113,-0.012428666,0.005002308,-0.034476385
-0.044129513,-0.013062412,-0.017156355,0.003195958,-0.045372751
-0.022869106,-0.012836714,-0.000677396,-0.010230275,-0.02323607
0.007274841,-0.001032198,-0.001745799,-0.000575094,-0.003686763
-0.012285186,-0.010892548,0.009740389,0.005750907,-0.000967741
0.036662597,-0.021731481,0.030326599,0.016279481,0.043403439
0.005033789,-0.011796328,-0.006755058,-0.000374369,-0.002180442
-0.003275229,-0.00963987,-0.010258385,0.013874554,-0.008363136
0.019321673,0.014956967,0.006224269,-0.002654687,0.021143552
0.011377684,0.009039932,0.005509499,-0.015765758,0.006419135
-0.049959272,-0.031333897,-0.036409266,-0.016345916,-0.038757406
0.024695616,0.003721043,-0.006214647,0.006897251,0.013291197
0.060673036,0.012648616,-0.014945314,0.002919626,0.056164693
-0.004797029,-0.02303974,-0.004440631,-0.007418083,0.005813128
-0.025410665,-0.017206904,-0.055311404,-0.016026525,-0.021234782
